Model,Version,R2 Score,MAE,Date,Status
Linear Regression,1.0,0.8486513286537314,0.7650597682758263,2026-07-24 09:53:05.660275,Production
Random Forest,1.0,0.8392884031940973,0.754,2026-07-24 09:53:05.660275,Staging
